service_date_key,region_seq,new_region_name,actual_service_count,actual_weighted_job_units,tv_job_count,available_current_dms_count,available_current_dms2_count,available_current_total_count,baseline_capacity_jobs,baseline_capacity_weighted_units,capacity_gap_jobs,capacity_gap_weighted_units,feasible_by_weighted_units
2026-02-24,1,Atlanta New Region 1,24,29.0,2,5,1,6,24,24,0,-5.0,False
2026-02-24,2,Atlanta New Region 2,21,28.0,1,5,0,5,20,20,-1,-8.0,False
2026-02-24,3,Atlanta New Region 3,16,21.0,0,5,0,5,20,20,4,-1.0,False
2026-02-25,1,Atlanta New Region 1,17,19.0,0,4,1,5,20,20,3,1.0,True
2026-02-25,2,Atlanta New Region 2,26,31.0,0,5,0,5,20,20,-6,-11.0,False
2026-02-25,3,Atlanta New Region 3,18,21.0,2,4,0,4,16,16,-2,-5.0,False
2026-02-26,1,Atlanta New Region 1,15,20.0,0,5,1,6,24,24,9,4.0,True
2026-02-26,2,Atlanta New Region 2,9,15.0,1,4,0,4,16,16,7,1.0,True
2026-02-26,3,Atlanta New Region 3,20,24.0,2,5,0,5,20,20,0,-4.0,False
2026-02-27,1,Atlanta New Region 1,19,24.0,1,5,1,6,24,24,5,0.0,True
2026-02-27,2,Atlanta New Region 2,12,16.0,0,5,0,5,20,20,8,4.0,True
2026-02-27,3,Atlanta New Region 3,19,21.0,0,5,0,5,20,20,1,-1.0,False
2026-02-28,2,Atlanta New Region 2,1,1.0,0,0,0,0,0,0,-1,-1.0,False
2026-03-02,1,Atlanta New Region 1,9,10.0,0,5,0,5,20,20,11,10.0,True
2026-03-02,2,Atlanta New Region 2,12,15.0,0,5,0,5,20,20,8,5.0,True
2026-03-02,3,Atlanta New Region 3,20,23.0,0,4,0,4,16,16,-4,-7.0,False
2026-03-03,1,Atlanta New Region 1,3,6.0,0,1,0,1,4,4,1,-2.0,False
2026-03-03,2,Atlanta New Region 2,4,8.0,0,0,0,0,0,0,-4,-8.0,False
2026-03-04,1,Atlanta New Region 1,4,7.0,0,2,0,2,8,8,4,1.0,True
2026-03-04,2,Atlanta New Region 2,6,7.0,0,3,0,3,12,12,6,5.0,True
2026-03-04,3,Atlanta New Region 3,4,4.0,0,3,0,3,12,12,8,8.0,True
2026-03-05,1,Atlanta New Region 1,3,3.0,0,4,0,4,16,16,13,13.0,True
2026-03-05,3,Atlanta New Region 3,6,8.0,0,4,0,4,16,16,10,8.0,True
2026-03-06,2,Atlanta New Region 2,1,1.0,0,1,0,1,4,4,3,3.0,True
2026-03-06,3,Atlanta New Region 3,3,4.0,0,1,0,1,4,4,1,0.0,True
2026-03-09,1,Atlanta New Region 1,2,2.0,0,2,0,2,8,8,6,6.0,True
2026-03-09,2,Atlanta New Region 2,1,1.0,0,1,0,1,4,4,3,3.0,True
2026-03-09,3,Atlanta New Region 3,1,2.0,0,0,0,0,0,0,-1,-2.0,False
