service_date_key,line_assigned_engineer_count,line_total_distance_km,line_total_duration_min,line_avg_distance_km,line_avg_duration_min,line_jobs_std,line_max_total_work_min,line_overflow_480_count,line_service_count,line_heavy_repair_count,line_tv_job_count,line_total_service_time_min,line_weighted_jobs_std,osrm_assigned_engineer_count,osrm_total_distance_km,osrm_total_duration_min,osrm_avg_distance_km,osrm_avg_duration_min,osrm_jobs_std,osrm_max_total_work_min,osrm_overflow_480_count,osrm_service_count,osrm_heavy_repair_count,osrm_tv_job_count,osrm_total_service_time_min,osrm_weighted_jobs_std
2026-01-30,17,1716.46,1787.39,100.96823529411765,105.14058823529412,0.7759356446042893,398.4,0,59,16,3,3535,0.6910200073218077,17,1523.73,1599.91,89.63117647058823,94.11235294117648,1.143660123248446,527.8,1,59,16,3,3535,1.6109486985446062
2026-01-31,17,25.83,37.01,25.83,37.01,0.23529411764705885,82.01,0,1,0,0,45,0.0,17,25.83,37.01,25.83,37.01,0.23529411764705885,82.01,0,1,0,0,45,0.0
2026-02-01,17,12.86,15.54,12.86,15.54,0.23529411764705885,60.54,0,1,0,0,45,0.0,17,27.54,31.23,27.54,31.23,0.23529411764705885,76.23,0,1,0,0,45,0.0
2026-02-02,17,1271.8600000000001,1400.69,74.81529411764707,82.3935294117647,1.2588785034725114,428.68,0,52,9,6,2835,1.3310245292923248,17,1095.61,1232.73,68.475625,77.045625,1.2588785034725114,441.76,0,52,9,6,2835,1.2854352375751958
2026-02-03,17,1324.88,1509.27,77.93411764705883,88.78058823529412,0.8065476000471816,420.81,0,64,17,4,3815,0.8065476000471816,17,1169.4,1386.08,68.78823529411765,81.53411764705882,1.164646463130784,495.4,1,64,17,4,3815,1.733049395606616
2026-02-04,17,1052.93,1192.69,61.93705882352941,70.15823529411765,0.899826972986962,327.56,0,49,8,2,2645,1.1852612752711698,17,976.69,1111.37,57.45235294117647,65.37470588235294,1.3232025740237638,475.23,0,49,8,2,2645,1.7803230529907714
2026-02-05,17,1108.79,1312.74,65.22294117647058,77.22,0.9112901991076274,410.21,0,58,10,1,3160,1.1881770515720091,17,1060.68,1236.24,62.39294117647059,72.72,1.1910856900774462,412.46,0,58,10,1,3160,1.2366938848016846
2026-02-06,17,1091.55,1192.77,64.20882352941176,70.16294117647058,1.1496953109230625,416.06,0,48,11,4,2765,1.5384349212496495,17,939.31,1029.33,55.2535294117647,60.54882352941176,1.1496953109230625,335.18,0,48,11,4,2765,1.4997116216449367
2026-02-07,17,280.62,287.97,35.0775,35.99625,0.4991341984846218,132.87,0,8,2,0,470,0.4330127018922193,17,389.54,366.96000000000004,48.6925,45.870000000000005,0.4991341984846218,173.08,0,8,2,0,470,0.4330127018922193
2026-02-09,17,1204.15,1272.1100000000001,70.83235294117648,74.83000000000001,0.7624400821656306,329.94,0,45,19,2,3070,1.0588235294117647,17,1155.63,1234.0,67.97823529411765,72.58823529411765,1.411764705882353,401.19,0,45,19,2,3070,1.733049395606616
