ZIP,GENERAL_MARKET,CITY_STATE,STATE,RSM,ASM,Grouping,Grouping Phase,2024 Avg Demand,Flag
12210,"Albany & North of Albany, NY",Albany_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0.42,
12211,"Albany & North of Albany, NY",Albany_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,1.25,
12222,"Albany & North of Albany, NY",Albany_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0,
12302,"Albany & North of Albany, NY",Schenectady_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,3.25,
12303,"Albany & North of Albany, NY",Schenectady_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,3.92,
12304,"Albany & North of Albany, NY",Schenectady_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,2.08,
12305,"Albany & North of Albany, NY",Schenectady_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0.17,
12306,"Albany & North of Albany, NY",Schenectady_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,3.5,
12307,"Albany & North of Albany, NY",Schenectady_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0.33,
12308,"Albany & North of Albany, NY",Schenectady_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0.75,
12309,"Albany & North of Albany, NY",Schenectady_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,2.92,
12801,"Albany & North of Albany, NY",Glens Falls_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0.75,
12803,"Albany & North of Albany, NY",South Glens Falls_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0.83,
12804,"Albany & North of Albany, NY",Queensbury_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,4.42,
12809,"Albany & North of Albany, NY",Argyle_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0.42,
12816,"Albany & North of Albany, NY",Cambridge_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0.75,
12822,"Albany & North of Albany, NY",Corinth_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0.5,
12828,"Albany & North of Albany, NY",Fort Edward_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,1.17,
12831,"Albany & North of Albany, NY",Gansevoort_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,3,
12833,"Albany & North of Albany, NY",Greenfield Center_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0.83,
12834,"Albany & North of Albany, NY",Greenwich_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,1.25,
12835,"Albany & North of Albany, NY",Hadley_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0.33,
12839,"Albany & North of Albany, NY",Hudson Falls_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,1,
12846,"Albany & North of Albany, NY",Lake Luzerne_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0.17,
12850,"Albany & North of Albany, NY",Middle Grove_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0.75,
12859,"Albany & North of Albany, NY",Porter Corners_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0.42,
12863,"Albany & North of Albany, NY",Rock City Falls_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0.17,
12866,"Albany & North of Albany, NY",Saratoga Springs_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,5.33,
12871,"Albany & North of Albany, NY",Schuylerville_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0.42,
31701,"Albany, GA",Albany_GA,GA,Kevin Reed,Robert Brown,C,Phase 3,2,
31702,"Albany, GA",Albany_GA,GA,Kevin Reed,Robert Brown,C,Phase 3,0,
31703,"Albany, GA",Albany_GA,GA,Kevin Reed,Robert Brown,C,Phase 3,0,
31704,"Albany, GA",Albany_GA,GA,Kevin Reed,Robert Brown,C,Phase 3,0,
31705,"Albany, GA",Albany_GA,GA,Kevin Reed,Robert Brown,C,Phase 3,0.75,
31706,"Albany, GA",Albany_GA,GA,Kevin Reed,Robert Brown,C,Phase 3,0,
31707,"Albany, GA",Albany_GA,GA,Kevin Reed,Robert Brown,C,Phase 3,1.67,
31708,"Albany, GA",Albany_GA,GA,Kevin Reed,Robert Brown,C,Phase 3,0,
31721,"Albany, GA",Albany_GA,GA,Kevin Reed,Robert Brown,C,Phase 3,3.33,
31763,"Albany, GA",Leesburg_GA,GA,Kevin Reed,Robert Brown,C,Phase 3,4,
31772,"Albany, GA",Oakfield_GA,GA,Kevin Reed,Robert Brown,C,Phase 3,0,
31782,"Albany, GA",Putney_GA,GA,Kevin Reed,Robert Brown,C,Phase 3,0,
31791,"Albany, GA",Sylvester_GA,GA,Kevin Reed,Robert Brown,C,Phase 3,0.92,
31796,"Albany, GA",Warwick_GA,GA,Kevin Reed,Robert Brown,C,Phase 3,0,
39826,"Albany, GA",Bronwood_GA,GA,Kevin Reed,Robert Brown,C,Phase 3,0,
39842,"Albany, GA",Dawson_GA,GA,Kevin Reed,Robert Brown,C,Phase 3,0.33,
39862,"Albany, GA",Leary_GA,GA,Kevin Reed,Robert Brown,C,Phase 3,0,
39885,"Albany, GA",Sasser_GA,GA,Kevin Reed,Robert Brown,C,Phase 3,0,
87001,"Albuquerque, NM",Algodones_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0.67,
87004,"Albuquerque, NM",Bernalillo_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0.92,
87008,"Albuquerque, NM",Cedar Crest_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0.75,
87010,"Albuquerque, NM",Cerrillos_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0.08,
87015,"Albuquerque, NM",Edgewood_NM,NM,James Sapp,Donald Mooney,B,Phase 3,1.17,
87016,"Albuquerque, NM",Estancia_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87022,"Albuquerque, NM",Isleta_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0.25,
87026,"Albuquerque, NM",Laguna_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87031,"Albuquerque, NM",Los Lunas_NM,NM,James Sapp,Donald Mooney,B,Phase 3,6.67,
87032,"Albuquerque, NM",Mcintosh_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87035,"Albuquerque, NM",Moriarty_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0.83,
87042,"Albuquerque, NM",Peralta_NM,NM,James Sapp,Donald Mooney,B,Phase 3,1.08,
87043,"Albuquerque, NM",Placitas_NM,NM,James Sapp,Donald Mooney,B,Phase 3,2.08,
87047,"Albuquerque, NM",Sandia Park_NM,NM,James Sapp,Donald Mooney,B,Phase 3,1.25,
87048,"Albuquerque, NM",Corrales_NM,NM,James Sapp,Donald Mooney,B,Phase 3,2.5,
87052,"Albuquerque, NM",Santo Domingo Pueblo_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87053,"Albuquerque, NM",San Ysidro_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87056,"Albuquerque, NM",Stanley_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0.42,
