POSTAL_CODE,STRATEGIC_CITY_NAME,region_id,region_seq,AREA_NAME,new_region_name,area_type
30028,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30030,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30032,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30033,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30034,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30035,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30037,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30038,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30039,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30040,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30041,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30043,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30044,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30045,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30046,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30047,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30052,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30054,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30055,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30056,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30058,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30060,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30062,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30063,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30064,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30065,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30066,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30067,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30068,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30069,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30071,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30072,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30075,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30076,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30078,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30079,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30080,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30081,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30082,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30083,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30084,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30087,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30088,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30092,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30093,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30094,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30096,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30097,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30098,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
