size,request_id,ok,status,elapsed_ms,response_bytes,osrm_code,error
500,11,True,200,1564.5717000588775,110336,Ok,
500,36,True,200,1648.1020001228899,110336,Ok,
500,28,True,200,1666.812599869445,110336,Ok,
500,6,True,200,1685.5651000514627,110336,Ok,
500,16,True,200,1692.0781000517309,110336,Ok,
500,23,True,200,1689.1278000548482,110336,Ok,
500,2,True,200,1703.8734999950975,110336,Ok,
500,20,True,200,1693.7647999729961,110336,Ok,
500,7,True,200,1713.5071998927742,110336,Ok,
500,10,True,200,1712.7362000755966,110336,Ok,
500,24,True,200,1704.6273001469672,110336,Ok,
500,4,True,200,1729.0868000127375,110336,Ok,
500,8,True,200,1727.9809000901878,110336,Ok,
500,1,True,200,1734.0043999720365,110336,Ok,
500,9,True,200,1734.6376001369208,110336,Ok,
500,19,True,200,1844.7158001363277,110336,Ok,
500,21,True,200,1855.9512000065297,110336,Ok,
500,13,True,200,1870.6981998402625,110336,Ok,
500,12,True,200,1877.3862000089139,110336,Ok,
500,33,True,200,1964.681199984625,110336,Ok,
500,35,True,200,1965.123200090602,110336,Ok,
500,25,True,200,2000.933799892664,110336,Ok,
500,17,True,200,2022.074099862948,110336,Ok,
500,26,True,200,2135.4110001120716,110336,Ok,
500,46,True,200,2130.3870999254286,110336,Ok,
500,22,True,200,2154.888099990785,110336,Ok,
500,14,True,200,2196.5334999840707,110336,Ok,
500,43,True,200,2256.3670999370515,110336,Ok,
500,37,True,200,2285.7697000727057,110336,Ok,
500,29,True,200,2295.9391998592764,110336,Ok,
500,32,True,200,2297.8869997896254,110336,Ok,
500,47,True,200,2398.26750010252,110336,Ok,
500,39,True,200,2421.1061999667436,110336,Ok,
500,34,True,200,2449.050399940461,110336,Ok,
500,31,True,200,2468.9936998765916,110336,Ok,
500,64,True,200,2519.0987000241876,110336,Ok,
500,57,True,200,2571.469300193712,110336,Ok,
500,41,True,200,2596.239499980584,110336,Ok,
500,30,True,200,2607.215299969539,110336,Ok,
500,49,True,200,2709.1447999700904,110336,Ok,
500,52,True,200,2720.7917000632733,110336,Ok,
500,40,True,200,2731.720000039786,110336,Ok,
500,42,True,200,2743.811400141567,110336,Ok,
500,48,True,200,2868.6184999532998,110336,Ok,
500,63,True,200,2861.3505999092013,110336,Ok,
500,45,True,200,2880.6106001138687,110336,Ok,
500,38,True,200,2914.387500146404,110336,Ok,
500,55,True,200,3009.1139001306146,110336,Ok,
500,61,True,200,3009.549300186336,110336,Ok,
500,50,True,200,3033.4813001099974,110336,Ok,
500,44,True,200,3039.3016000743955,110336,Ok,
500,58,True,200,3149.833400035277,110336,Ok,
500,60,True,200,3154.6324999071658,110336,Ok,
500,59,True,200,3156.7844999954104,110336,Ok,
500,51,True,200,3169.721399899572,110336,Ok,
500,69,True,200,3279.4601002242416,110336,Ok,
500,67,True,200,3298.4719001688063,110336,Ok,
500,56,True,200,3315.0468999519944,110336,Ok,
500,53,True,200,3321.439699968323,110336,Ok,
500,78,True,200,3424.0643000230193,110336,Ok,
500,79,True,200,3425.1083999406546,110336,Ok,
500,65,True,200,3461.2032999284565,110336,Ok,
500,62,True,200,3471.7735999729484,110336,Ok,
